,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
D25_y,143.821,143.735,144.665,145.839,146.228,146.356,146.395,146.417,146.402,146.382,146.362,146.361,146.357,146.357,146.359,146.359,146.351,146.339,146.326,146.312,146.299,146.285,146.271,146.257,146.243,146.229,146.215,146.2,146.186,146.172,146.158,146.144,146.129,146.115,146.101,146.086,146.072,146.058,146.043,146.029,146.014,146.0,145.985,145.97,145.956,145.941,145.926,145.912,145.897,145.882
D26_x,118.974,119.035,119.042,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043,119.043
D26_y,430.11,430.112,430.109,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105,430.105
D27_x,111.5,111.456,111.543,112.729,114.253,115.067,115.093,115.093,115.143,115.165,115.166,115.169,115.173,115.173,115.173,115.173,115.174,115.175,115.149,115.071,114.992,114.989,114.989,114.99,114.99,114.991,114.992,114.993,114.993,114.994,114.995,114.995,114.995,114.996,114.996,114.996,114.996,114.996,114.996,114.996,114.995,114.995,114.994,114.992,114.988,114.984,114.978,114.972,114.966,114.96
D27_y,348.608,348.538,349.843,351.554,354.891,355.533,355.638,355.638,355.819,355.894,355.898,355.908,355.923,355.923,355.923,355.924,355.927,355.929,355.938,355.961,355.983,355.991,356.002,356.018,356.037,356.06,356.085,356.113,356.143,356.175,356.208,356.241,356.275,356.309,356.344,356.378,356.411,356.445,356.477,356.51,356.542,356.578,356.634,356.718,356.823,356.933,357.042,357.144,357.237,357.32
D28_x,217.493,218.587,218.427,218.447,218.485,218.499,218.499,218.499,218.499,218.499,218.499,218.499,218.499,218.499,218.499,218.499,218.499,218.499,218.499,218.499,218.499,218.499,218.5,218.501,218.501,218.502,218.503,218.503,218.504,218.505,218.505,218.505,218.505,218.506,218.506,218.506,218.506,218.507,218.507,218.507,218.507,218.507,218.507,218.507,218.507,218.508,218.508,218.508,218.508,218.508
D28_y,454.584,456.288,457.777,457.819,457.901,457.93,457.93,457.93,457.93,457.93,457.93,457.93,457.93,457.93,457.93,457.93,457.93,457.93,457.93,457.93,457.93,457.931,457.932,457.934,457.936,457.938,457.939,457.94,457.942,457.943,457.943,457.944,457.944,457.945,457.946,457.946,457.947,457.947,457.947,457.948,457.948,457.948,457.948,457.949,457.949,457.949,457.949,457.949,457.95,457.95
D29_x,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964,186.964
D29_y,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986,96.4986
D30_x,246.788,250.517,250.172,250.39,250.435,250.473,250.504,250.521,250.526,250.522,250.506,250.487,250.468,250.448,250.429,250.41,250.391,250.372,250.352,250.339,250.331,250.323,250.315,250.307,250.299,250.289,250.28,250.27,250.259,250.248,250.236,250.224,250.212,250.2,250.187,250.174,250.161,250.148,250.135,250.122,250.109,250.096,250.083,250.069,250.056,250.042,250.029,250.015,250.0,249.986
