,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
D29_x,367.593,371.254,374.048,380.377,389.926,399.371,405.428,409.548,411.733,413.574,412.026,407.61,400.638,393.347,392.824,392.663,387.935,379.139,376.119,370.857
D29_y,372.76,371.833,365.662,358.569,350.906,345.861,344.111,343.142,343.94,345.049,344.505,351.189,353.647,364.075,364.893,363.204,359.248,353.061,348.116,339.992
D30_x,457.657,457.657,457.657,457.657,457.205,457.146,457.146,455.426,446.688,457.933,455.068,461.194,473.36,493.618,492.525,497.19,484.942,483.585,483.185,483.126
D30_y,227.68,227.68,227.68,227.68,225.485,225.252,225.252,222.842,218.789,215.531,221.426,222.818,215.457,227.163,243.757,200.346,205.928,209.549,210.334,210.45
D31_x,178.692,179.546,189.346,191.317,185.504,175.853,173.42,168.539,175.88,186.868,204.432,199.007,192.068,191.179,186.604,188.393,188.434,192.014,193.08,195.543
D31_y,251.134,250.366,252.719,257.793,264.081,259.787,265.292,275.136,293.311,279.966,272.031,270.06,276.101,271.172,270.876,269.667,262.581,260.552,262.816,265.533
D32_x,425.877,423.008,423.007,423.007,423.007,423.007,422.854,422.262,421.231,410.399,405.267,400.271,405.595,408.002,408.601,407.71,403.84,402.214,404.447,404.494
D32_y,168.868,169.818,169.819,169.819,169.819,169.819,169.801,170.075,178.799,169.889,165.914,144.394,140.323,144.729,145.47,144.701,141.975,143.439,134.002,133.954
D33_x,479.386,479.865,479.865,479.865,479.865,479.865,479.865,479.865,479.865,479.865,479.865,479.865,479.865,479.865,479.865,479.865,479.865,479.865,479.865,479.865
D33_y,4.00609,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715,3.98715
D34_x,172.284,182.448,208.088,234.92,249.579,259.749,259.834,257.731,257.731,257.731,257.128,257.104,256.474,256.474,256.474,256.474,256.474,258.442,256.729,258.373
D34_y,170.706,179.458,183.243,186.294,179.081,173.533,148.653,153.365,153.365,153.366,155.987,156.359,156.853,156.853,156.853,156.853,156.853,158.951,158.817,154.76
D35_x,248.581,241.671,240.137,239.47,231.85,235.826,238.452,228.894,215.284,212.692,214.817,212.9,209.457,207.122,204.453,204.983,204.973,204.781,203.922,203.695
D35_y,304.769,306.35,311.922,304.652,310.758,321.261,324.903,315.196,331.755,330.631,331.427,328.208,325.197,321.08,316.663,310.894,306.635,304.702,309.614,311.042
D36_x,82.1083,84.5712,84.8524,86.117,88.4616,88.5573,88.5577,90.2513,91.3947,91.4849,93.6123,94.336,94.6833,94.7737,94.8255,94.9341,95.0279,95.0804,95.0792,95.0155
D36_y,105.665,110.012,110.954,111.24,110.535,110.526,110.526,110.64,110.4,110.331,109.801,109.754,110.051,110.121,110.17,110.25,110.31,110.308,110.561,110.972
D37_x,207.142,208.881,210.926,223.25,240.567,233.724,224.327,233.42,211.647,214.669,218.869,217.538,215.958,233.819,223.403,216.783,216.327,210.011,225.349,232.121
D37_y,291.706,292.023,294.415,269.5,267.414,284.945,278.079,274.051,277.083,268.091,267.926,272.431,269.182,258.984,259.189,268.133,256.073,243.835,254.205,263.208
D38_x,279.077,281.961,281.961,281.961,281.961,282.953,283.685,284.618,284.655,284.675,284.689,284.689,284.689,284.689,284.681,284.292,284.251,283.77,283.685,282.729
D38_y,75.2155,76.501,76.501,76.501,76.501,73.0757,69.3558,64.7004,64.7134,64.7208,64.7265,64.7264,64.7263,64.7263,64.7481,65.7296,65.8233,66.8472,67.0213,66.6724
D39_x,487.547,489.889,489.888,489.883,489.871,489.871,489.582,490.266,491.136,491.629,488.231,488.87,480.134,458.851,434.132,460.257,448.875,448.472,448.271,439.102
D39_y,274.699,277.849,277.849,277.856,277.87,277.87,277.732,278.376,278.893,279.587,292.894,295.505,296.816,294.619,293.436,319.313,309.472,300.489,306.708,299.14
D40_x,253.305,252.607,259.355,265.016,259.868,258.921,260.729,250.533,258.257,266.03,279.68,282.314,285.328,276.852,264.631,259.354,264.184,269.122,269.659,269.571
D40_y,374.449,371.855,364.588,354.431,345.838,338.549,349.1,333.11,322.511,316.039,307.659,299.274,291.32,291.697,289.755,283.948,287.658,286.418,281.47,280.028
D41_x,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461,58.1461
D41_y,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536,20.7536
D42_x,480.267,480.311,480.311,480.372,480.405,480.405,480.791,482.304,483.564,486.71,486.475,491.222,483.69,498.047,472.501,472.931,481.513,473.96,483.824,481.804
D42_y,264.371,264.525,264.525,264.564,264.585,264.585,264.806,265.375,265.547,267.386,275.424,277.18,291.134,285.513,293.183,316.404,312.761,306.053,307.736,301.195
D43_x,433.776,439.675,453.096,458.32,459.684,459.826,459.839,458.684,458.865,462.36,461.602,465.759,472.135,455.738,436.64,434.181,439.724,462.484,466.643,471.791
D43_y,311.468,310.638,313.798,309.556,305.578,305.545,305.671,302.499,299.042,300.731,295.403,305.312,328.466,329.154,342.068,328.338,326.74,319.44,311.022,314.741
D44_x,252.901,259.809,254.989,259.305,249.792,246.783,239.527,233.177,224.28,214.685,204.7,196.012,186.911,182.685,180.218,171.699,178.285,178.864,185.198,187.088
D44_y,402.8,412.841,419.712,413.237,414.531,418.562,418.461,422.537,421.505,421.417,413.345,411.159,419.34,422.585,429.139,432.045,426.511,423.385,423.474,422.831
D45_x,175.388,178.139,186.822,202.928,210.84,211.587,204.635,212.845,212.97,200.922,201.547,199.049,197.184,202.559,197.426,200.54,204.972,210.909,225.012,216.999
D45_y,286.233,285.374,276.607,279.846,298.168,308.536,309.459,307.557,303.175,305.183,309.082,294.411,287.67,276.504,266.462,264.436,260.974,255.424,241.54,235.999
D46_x,485.971,488.404,494.57,495.176,496.928,498.409,491.551,490.169,491.584,491.844,491.813,491.016,489.63,482.093,487.448,491.399,482.574,470.687,469.823,470.229
D46_y,476.882,475.984,475.314,472.362,475.557,476.338,480.258,478.684,476.886,470.464,470.275,469.263,472.195,474.781,469.596,458.551,461.278,450.914,450.969,473.385
D47_x,261.37,261.37,261.37,261.37,261.37,261.37,261.37,261.37,261.37,261.37,261.37,261.37,262.274,262.979,262.979,262.979,262.979,262.979,262.979,262.979
D47_y,25.999,25.9993,25.9993,25.9993,25.9993,25.9993,25.9993,25.9993,25.9993,25.9993,25.9993,25.9993,26.37,26.5542,26.5541,26.5541,26.5541,26.5541,26.5541,26.5541
D48_x,233.485,232.767,232.327,234.881,240.836,232.814,227.347,226.505,225.352,225.699,225.707,225.886,225.538,225.275,221.802,219.416,219.234,216.932,219.458,224.107
D48_y,145.342,145.395,138.405,140.449,122.496,115.705,112.312,112.803,113.687,113.665,113.664,113.651,113.718,114.239,114.033,114.427,114.946,117.086,123.122,109.643
D49_x,184.673,181.894,205.765,232.628,227.92,232.877,216.663,210.169,219.894,216.81,214.537,217.613,222.576,213.086,212.948,217.975,223.912,230.372,235.248,230.13
D49_y,209.199,213.34,215.188,233.871,255.022,254.063,260.831,250.735,247.572,235.329,220.3,218.127,216.58,212.109,216.369,215.297,216.713,205.035,201.888,195.672
D50_x,25.7053,25.6188,25.6188,25.6188,25.6188,25.6188,25.6188,25.5982,24.8181,23.9723,22.669,22.5821,22.5334,22.0517,13.3205,6.66744,5.51405,4.57782,3.11319,2.91482
D50_y,409.82,409.598,409.598,409.598,409.598,409.598,409.598,409.814,409.833,410.039,410.996,411.003,410.943,410.633,401.827,401.809,401.504,401.147,399.449,399.201
D51_x,412.911,412.169,412.169,412.169,412.169,412.169,412.169,412.191,412.418,410.384,406.342,405.586,405.909,406.06,406.638,406.963,407.385,407.386,407.495,407.575
D51_y,94.7436,91.9875,91.9874,91.9873,91.9873,91.9872,91.9872,91.7381,89.779,85.6801,75.7235,75.1519,73.216,73.1181,72.5635,71.7551,69.6984,69.6972,69.7885,69.8047
D52_x,209.545,211.103,207.209,209.851,214.3,215.854,211.454,212.198,199.491,195.88,189.008,186.07,182.103,179.231,177.473,173.977,172.521,163.649,162.181,162.181
D52_y,468.157,465.547,466.202,460.427,461.3,462.037,454.71,457.141,460.742,467.395,468.987,459.312,450.618,451.132,451.335,463.254,460.873,451.958,450.623,450.623
D53_x,209.629,216.825,212.107,208.301,197.415,187.922,183.778,179.297,177.68,155.082,159.994,149.776,149.436,152.773,138.062,133.24,127.188,130.218,127.406,122.453
D53_y,332.446,332.76,326.764,324.028,333.338,349.87,350.119,350.73,352.845,354.646,338.721,337.291,322.836,309.088,305.825,304.609,303.747,305.646,303.695,303.581
D54_x,189.235,176.964,181.959,187.099,171.618,172.535,180.732,182.78,184.051,178.924,173.624,179.485,172.521,170.184,181.325,178.559,178.399,181.503,187.207,187.676
D54_y,321.573,318.059,311.488,313.828,309.862,293.932,284.708,273.295,277.63,278.586,286.804,288.828,298.327,295.252,290.233,283.527,283.627,283.964,284.591,287.04
D55_x,65.5912,71.7578,71.9851,71.2416,71.3471,71.3456,71.3456,73.3275,72.3052,72.2215,71.5912,71.6202,71.6203,71.6258,71.6328,71.6446,71.6724,71.7301,71.8908,72.5993
D55_y,106.781,99.2627,99.1295,98.3674,96.3046,96.303,96.303,93.223,91.3657,91.2639,88.1949,88.0191,88.0188,88.0031,87.9829,87.9489,87.8673,87.6987,87.2961,85.5358
D56_x,440.424,437.802,437.803,437.803,437.803,437.802,437.835,438.79,446.255,455.974,457.984,460.236,461.659,465.804,464.869,455.626,462.186,463.617,463.85,463.581
D56_y,116.801,127.195,127.194,127.194,127.194,127.193,127.157,125.619,116.601,113.77,116.714,115.193,114.822,110.409,100.088,107.86,120.395,114.278,112.135,111.903
D57_x,115.456,120.46,122.871,116.885,129.258,131.748,135.53,144.99,147.567,147.32,143.61,145.194,153.067,147.396,138.914,130.381,127.723,122.814,117.785,113.812
D57_y,309.848,305.645,302.53,296.157,297.027,297.223,298.215,290.886,300.113,297.756,292.286,295.383,303.96,306.549,300.659,292.386,283.409,278.008,275.49,271.519
D58_x,317.705,315.823,315.823,315.823,315.823,316.802,322.532,328.694,326.974,322.397,322.359,322.299,321.578,321.578,321.586,321.476,321.474,323.229,321.203,321.352
D58_y,88.2136,92.8219,92.8223,92.8223,92.8223,93.1366,95.3711,89.7333,87.8343,82.9212,82.8564,82.7835,81.9637,81.9637,81.9683,84.4726,84.4871,84.2175,82.5141,81.2662
D59_x,312.406,306.17,300.197,291.04,280.647,277.822,270.12,264.73,255.386,246.767,239.29,230.315,225.551,230.375,228.254,232.215,231.933,238.767,243.988,244.576
D59_y,385.707,391.215,399.797,400.028,398.499,404.936,408.473,412.878,419.442,423.598,421.889,427.607,427.72,436.147,441.945,438.924,438.939,442.024,438.761,438.345
D60_x,173.271,173.569,170.844,165.289,165.289,165.289,165.289,165.289,165.289,165.289,165.289,165.289,165.289,165.289,165.289,165.289,165.289,165.289,165.289,165.289
D60_y,87.0314,87.777,86.5808,79.5528,79.5528,79.5528,79.5528,79.5528,79.5528,79.5528,79.5528,79.5528,79.5528,79.5528,79.5528,79.5528,79.5528,79.5528,79.5528,79.5528
D61_x,42.1281,38.8243,35.0192,34.8118,30.2615,31.5992,31.5092,30.6165,40.6138,45.8084,48.054,47.1191,46.0272,44.5491,44.5491,44.5491,44.4869,43.5636,43.1308,42.6564
D61_y,235.457,230.479,227.256,228.416,226.655,228.957,228.861,233.054,237.561,239.367,243.27,244.517,241.947,239.712,239.712,239.712,239.42,235.261,234.116,232.85
D62_x,200.31,202.189,201.86,201.719,199.785,198.673,199.725,199.726,199.765,199.766,199.766,199.699,199.786,200.417,200.428,199.876,198.945,199.033,198.654,197.7
D62_y,116.997,114.355,113.507,110.243,110.753,111.324,109.012,109.013,109.029,109.029,109.03,109.203,109.261,107.023,106.68,104.003,102.087,100.79,99.9066,98.7542
D63_x,229.471,223.026,221.417,213.377,211.737,206.084,194.066,188.718,184.597,173.621,164.635,163.043,160.52,163.341,162.269,149.996,147.353,142.847,139.343,139.079
D63_y,316.836,319.151,319.685,328.821,316.369,316.041,307.163,301.705,298.767,291.216,306.117,308.628,295.788,294.952,300.38,297.224,296.77,294.152,290.532,285.926
D64_x,83.6238,80.4896,80.185,78.0793,75.4859,75.6428,76.3866,76.5886,81.0447,84.0975,86.3635,100.317,108.965,106.338,108.212,110.594,106.531,103.432,103.24,112.482
